id,title,authors,venue,year,text
34850,a collaborative approach to international programs,"gc godbey , b turlington","new directions for higher education ,",2002.0,"COL title VAL a collaborative approach to international programs COL authors VAL gc godbey , b turlington COL venue VAL new directions for higher education , COL year VAL 2002.0"
34851,knowledge discovery in databases : an attribute-oriented approach,j han,,,COL title VAL knowledge discovery in databases : an attribute-oriented approach COL authors VAL j han COL venue VAL  COL year VAL 
34852,presence and task performance : a reality centred approach . technical sketch,"k mania , a chalmers , t troscianko , r hawkes","proc . of acm siggraph 2000 ,",,"COL title VAL presence and task performance : a reality centred approach . technical sketch COL authors VAL k mania , a chalmers , t troscianko , r hawkes COL venue VAL proc . of acm siggraph 2000 , COL year VAL "
34853,instance-based schema matching for web databases by domain-specific query probing,"j wang , jr wen , f lochovsky , wy ma","proceedings of the international conference on very large & hellip ; ,",2004.0,"COL title VAL instance-based schema matching for web databases by domain-specific query probing COL authors VAL j wang , jr wen , f lochovsky , wy ma COL venue VAL proceedings of the international conference on very large & hellip ; , COL year VAL 2004.0"
34854,dubna report d2710 ( 1966 ),"i zvara , yt chuburkov , r caletka , ts zvarova , mr","at . energ ,",,"COL title VAL dubna report d2710 ( 1966 ) COL authors VAL i zvara , yt chuburkov , r caletka , ts zvarova , mr COL venue VAL at . energ , COL year VAL "
34855,et al. effects of stress and anxiety on the processing of threat stimuli,k mogg,,1990.0,COL title VAL et al. effects of stress and anxiety on the processing of threat stimuli COL authors VAL k mogg COL venue VAL  COL year VAL 1990.0
34856,voices from the fields : community-based migrant education,lc velazquez,"new directions for adult and continuing education ,",1996.0,"COL title VAL voices from the fields : community-based migrant education COL authors VAL lc velazquez COL venue VAL new directions for adult and continuing education , COL year VAL 1996.0"
34857,a conceptual framework for instructional consultation,o hicks,"new directions for teaching and learning ,",1999.0,"COL title VAL a conceptual framework for instructional consultation COL authors VAL o hicks COL venue VAL new directions for teaching and learning , COL year VAL 1999.0"
34858,"video codingâ ?? techniques , standards and applications","mw whybray , gd morrison , pj mulroy","bt technology journal ,",1997.0,"COL title VAL video codingâ ?? techniques , standards and applications COL authors VAL mw whybray , gd morrison , pj mulroy COL venue VAL bt technology journal , COL year VAL 1997.0"
34859,efficient commit protocols for the tree of processes model os distributed transactions,"c mohan , b lindsay","proc . 2nd acm sigactâ ?? sigmod symp . onprinciples of & hellip ; ,",,"COL title VAL efficient commit protocols for the tree of processes model os distributed transactions COL authors VAL c mohan , b lindsay COL venue VAL proc . 2nd acm sigactâ ?? sigmod symp . onprinciples of & hellip ; , COL year VAL "
34860,microstrip microslot antennas for biomedical applications : frequency analysis of different,"r ledee , m chive , m plancot","electronic letters ,",,"COL title VAL microstrip microslot antennas for biomedical applications : frequency analysis of different COL authors VAL r ledee , m chive , m plancot COL venue VAL electronic letters , COL year VAL "
34861,salma banishes garbage,g da cunha,"bombay times , the times of india ,",,"COL title VAL salma banishes garbage COL authors VAL g da cunha COL venue VAL bombay times , the times of india , COL year VAL "
34862,electronic currency for the internet,"m gennady , b clifford","electronic markets ,",,"COL title VAL electronic currency for the internet COL authors VAL m gennady , b clifford COL venue VAL electronic markets , COL year VAL "
34863,evaluation of ã ? - valued fixed-polarity generalized reed-muller canonical forms,ev dubrova,proc . 29th int . symp . on multiple-valued,,COL title VAL evaluation of ã ? - valued fixed-polarity generalized reed-muller canonical forms COL authors VAL ev dubrova COL venue VAL proc . 29th int . symp . on multiple-valued COL year VAL 
34864,explore/exploit strategies in autonomy,sw wilson,"from animals to animats ,",,"COL title VAL explore/exploit strategies in autonomy COL authors VAL sw wilson COL venue VAL from animals to animats , COL year VAL "
34865,storing and querying ordered xml using a relational database system,i tatarinov,"sigmod conference ,",2002.0,"COL title VAL storing and querying ordered xml using a relational database system COL authors VAL i tatarinov COL venue VAL sigmod conference , COL year VAL 2002.0"
34866,"mechanics of textiles i , ii",b stå?ãå 3/4,"technical university of liberec ,",,"COL title VAL mechanics of textiles i , ii COL authors VAL b stå?ãå 3/4 COL venue VAL technical university of liberec , COL year VAL "
34867,recent results in art galleries,tc shermer,"proceedings-ieee ,",1992.0,"COL title VAL recent results in art galleries COL authors VAL tc shermer COL venue VAL proceedings-ieee , COL year VAL 1992.0"
34868,the r * - tree : an efficient and robust access method for points and rectangles,"n beckermann , h kriegel , r schneider","proc . acm sigmod int &#39; l conf . on management of data , atlantic",,"COL title VAL the r * - tree : an efficient and robust access method for points and rectangles COL authors VAL n beckermann , h kriegel , r schneider COL venue VAL proc . acm sigmod int &#39; l conf . on management of data , atlantic COL year VAL "
34869,parallel algorithms for execution of relations database operations,"d bitten , h boral , d dewitt , wk wilkinson","acm trans . database systems ,",,"COL title VAL parallel algorithms for execution of relations database operations COL authors VAL d bitten , h boral , d dewitt , wk wilkinson COL venue VAL acm trans . database systems , COL year VAL "
34870,minimizing average flow time on a single machine with learning and fatigue factors,"vr dondeti , bb mohanty","proceedings of the 25 th , annual meeting southeast region of & hellip ; ,",,"COL title VAL minimizing average flow time on a single machine with learning and fatigue factors COL authors VAL vr dondeti , bb mohanty COL venue VAL proceedings of the 25 th , annual meeting southeast region of & hellip ; , COL year VAL "
34871,distributed hypertext resource discovery through examples,"s chakrabarti , m van den berg , b dom","proceedings of the international conference on very large & hellip ; ,",1999.0,"COL title VAL distributed hypertext resource discovery through examples COL authors VAL s chakrabarti , m van den berg , b dom COL venue VAL proceedings of the international conference on very large & hellip ; , COL year VAL 1999.0"
34872,modeling and control challenges in power electronics,"gc verghese , m ilic-spong , jh lang","proc . 25th ieee conf . dec. contr . ( athens , greece , dec. 1986 ) ,",,"COL title VAL modeling and control challenges in power electronics COL authors VAL gc verghese , m ilic-spong , jh lang COL venue VAL proc . 25th ieee conf . dec. contr . ( athens , greece , dec. 1986 ) , COL year VAL "
34873,plasma catalysis of hydrocarbon reactions in pulsed mw discharge,"v jivotov , b potapkin , v rusanov , a babaristkiy , s",proceedings of the 2 '' d workshop on magneto -,,"COL title VAL plasma catalysis of hydrocarbon reactions in pulsed mw discharge COL authors VAL v jivotov , b potapkin , v rusanov , a babaristkiy , s COL venue VAL proceedings of the 2 '' d workshop on magneto - COL year VAL "
34874,patterns of faculty response to growing student diversity .,m bloom,"new directions for higher education ,",1973.0,"COL title VAL patterns of faculty response to growing student diversity . COL authors VAL m bloom COL venue VAL new directions for higher education , COL year VAL 1973.0"
34875,a digital computer based simulation procedure for multiple degree of freedom mechanical systems with,pn sheth,,1972.0,COL title VAL a digital computer based simulation procedure for multiple degree of freedom mechanical systems with COL authors VAL pn sheth COL venue VAL  COL year VAL 1972.0
34876,wisconsin ideas : the continuing role of the university in the state and beyond,jf witte,"new directions for higher education ,",2000.0,"COL title VAL wisconsin ideas : the continuing role of the university in the state and beyond COL authors VAL jf witte COL venue VAL new directions for higher education , COL year VAL 2000.0"
34877,"debeljkovid , â ?? on non liapunov stability of discrete descriptor systemsâ ??","dh owens , d lj",proceedings of 25â ?? h conference on decision and,,"COL title VAL debeljkovid , â ?? on non liapunov stability of discrete descriptor systemsâ ?? COL authors VAL dh owens , d lj COL venue VAL proceedings of 25â ?? h conference on decision and COL year VAL "
34878,adaptive model following control of electrohydraulic velocity control systems subjected to unknown,js yun,,,COL title VAL adaptive model following control of electrohydraulic velocity control systems subjected to unknown COL authors VAL js yun COL venue VAL  COL year VAL 
34879,anticholinergic toxicity from nightshade berry poisoning responsive to physostigmine,"lj ceha , c presperin , e young , m allswede , t","journal of emergency medicine ,",1997.0,"COL title VAL anticholinergic toxicity from nightshade berry poisoning responsive to physostigmine COL authors VAL lj ceha , c presperin , e young , m allswede , t COL venue VAL journal of emergency medicine , COL year VAL 1997.0"
34880,single and multiple dose pharmacokinetics of rifapentine and its active metabolite 25-desacetyl -,"a keung , mg eller , ka mckenzie , sj weir",submitted for,,"COL title VAL single and multiple dose pharmacokinetics of rifapentine and its active metabolite 25-desacetyl - COL authors VAL a keung , mg eller , ka mckenzie , sj weir COL venue VAL submitted for COL year VAL "
34881,freespan : frequent parrten-projected sequential pattern mining,"j han , j pei , b mortazavi-asl , q chen , u dayal , mc","knowledge discovery and data mining ,",,"COL title VAL freespan : frequent parrten-projected sequential pattern mining COL authors VAL j han , j pei , b mortazavi-asl , q chen , u dayal , mc COL venue VAL knowledge discovery and data mining , COL year VAL "
34882,g-presentaciones de los grupos de dick para el caso en que dos generadores tienen el mismo orden,mr milan-licea,"procs . first int . conf . math . comp . sc. , mexico ,",,"COL title VAL g-presentaciones de los grupos de dick para el caso en que dos generadores tienen el mismo orden COL authors VAL mr milan-licea COL venue VAL procs . first int . conf . math . comp . sc. , mexico , COL year VAL "
34883,urban multi-hop broadcast protocol for inter-vehicle communication systems,"g korkmaz , e ekici",,,"COL title VAL urban multi-hop broadcast protocol for inter-vehicle communication systems COL authors VAL g korkmaz , e ekici COL venue VAL  COL year VAL "
34884,channel conflicts push levi to halt web sales,s collett,"computerworld ,",,"COL title VAL channel conflicts push levi to halt web sales COL authors VAL s collett COL venue VAL computerworld , COL year VAL "
34885,recent bt patents,gns inventors,"bt technology journal ,",2005.0,"COL title VAL recent bt patents COL authors VAL gns inventors COL venue VAL bt technology journal , COL year VAL 2005.0"
34886,analysis and simulation of ip and mpls transport in the utran,e vã ¡ zquez,technical university of madrid,,COL title VAL analysis and simulation of ip and mpls transport in the utran COL authors VAL e vã ¡ zquez COL venue VAL technical university of madrid COL year VAL 
34887,hydration of portland cement,"le copeland , dl kantro","proc . int . symp . chem . cem ,",,"COL title VAL hydration of portland cement COL authors VAL le copeland , dl kantro COL venue VAL proc . int . symp . chem . cem , COL year VAL "
34888,assuming the bully pulpit,r bornstein,"new directions for higher education ,",1996.0,"COL title VAL assuming the bully pulpit COL authors VAL r bornstein COL venue VAL new directions for higher education , COL year VAL 1996.0"
34889,"f. , pereira , j. , ross , ka , and shasha , d. 2001 . filtering algorithms and implementation for very","f fabret , ha jacobsen , i ll",proceedings of the acm sigmod,,"COL title VAL f. , pereira , j. , ross , ka , and shasha , d. 2001 . filtering algorithms and implementation for very COL authors VAL f fabret , ha jacobsen , i ll COL venue VAL proceedings of the acm sigmod COL year VAL "
34890,ftt performance of a closed regenerated brayton cycle coupled to variable-temperature heat,"l chen , n ni , g cheng , f sun",proc . int . conf . marine,,"COL title VAL ftt performance of a closed regenerated brayton cycle coupled to variable-temperature heat COL authors VAL l chen , n ni , g cheng , f sun COL venue VAL proc . int . conf . marine COL year VAL "
34891,andy . crouzet . anexperimentalstudy on software structural testing : deterministic versus random input,"p thevenod-fosse , h waeselynck",proc . 21st int . symposium on fault-tolerant,,"COL title VAL andy . crouzet . anexperimentalstudy on software structural testing : deterministic versus random input COL authors VAL p thevenod-fosse , h waeselynck COL venue VAL proc . 21st int . symposium on fault-tolerant COL year VAL "
34892,oral misoprostol for induction of labour,z alfirevic,"cochrane database syst rev ,",2003.0,"COL title VAL oral misoprostol for induction of labour COL authors VAL z alfirevic COL venue VAL cochrane database syst rev , COL year VAL 2003.0"
34893,advances in network simulation,"de lee breslau , k fall , s floyd , j heidemann , a","ieee computer ,",,"COL title VAL advances in network simulation COL authors VAL de lee breslau , k fall , s floyd , j heidemann , a COL venue VAL ieee computer , COL year VAL "
34894,continuous display using heterogeneous disk-subsystems,r zimmermann,,,COL title VAL continuous display using heterogeneous disk-subsystems COL authors VAL r zimmermann COL venue VAL  COL year VAL 
34895,the influence of surface tarnish on the stress-corrosion of-brass,"aj forty , p humble","phil . mag ,",,"COL title VAL the influence of surface tarnish on the stress-corrosion of-brass COL authors VAL aj forty , p humble COL venue VAL phil . mag , COL year VAL "
34896,rule condition testing and execution in ariel,e hanson,"proc . ã?rpc , acm-sigmod int &#39; l conf ,",,"COL title VAL rule condition testing and execution in ariel COL authors VAL e hanson COL venue VAL proc . ã?rpc , acm-sigmod int &#39; l conf , COL year VAL "
34897,effect of continuous responding on the order effect in personality impression formation,rh stewart,"journal of personality and social psychology ,",1965.0,"COL title VAL effect of continuous responding on the order effect in personality impression formation COL authors VAL rh stewart COL venue VAL journal of personality and social psychology , COL year VAL 1965.0"
34898,differential social perception and attribution of intergroup violence : testing the lower limits of,bl duncan,"journal of personality and social psychology ,",1976.0,"COL title VAL differential social perception and attribution of intergroup violence : testing the lower limits of COL authors VAL bl duncan COL venue VAL journal of personality and social psychology , COL year VAL 1976.0"
34899,"inside windows nt , p. 200",h custer,,1993.0,"COL title VAL inside windows nt , p. 200 COL authors VAL h custer COL venue VAL  COL year VAL 1993.0"
34900,matching applicants with services : initial assessments in the milwaukee county w-2 program,"s gooden , fc doolittle , b glispie",,,"COL title VAL matching applicants with services : initial assessments in the milwaukee county w-2 program COL authors VAL s gooden , fc doolittle , b glispie COL venue VAL  COL year VAL "
34901,synchronization of amygdalar and hippocampal theta oscillations during retrieval of pavlovian fear,"rt laxmi , t seidenbecher , o stork , hc pape",submitted for,,"COL title VAL synchronization of amygdalar and hippocampal theta oscillations during retrieval of pavlovian fear COL authors VAL rt laxmi , t seidenbecher , o stork , hc pape COL venue VAL submitted for COL year VAL "
34902,extending the object-oriented database management system vodak with active capabilities,"d darmstadt , w klas , w obermair",,,"COL title VAL extending the object-oriented database management system vodak with active capabilities COL authors VAL d darmstadt , w klas , w obermair COL venue VAL  COL year VAL "
34903,algebraic optimization of computations over scientific databases,"rh wolniewicz , g graefe","vldb ,",1993.0,"COL title VAL algebraic optimization of computations over scientific databases COL authors VAL rh wolniewicz , g graefe COL venue VAL vldb , COL year VAL 1993.0"
34904,transmedia machine and its keyword search over image texts,"y tanaka , h torii","proceedings of recherche dâ ?? information assistee par & hellip ; ,",,"COL title VAL transmedia machine and its keyword search over image texts COL authors VAL y tanaka , h torii COL venue VAL proceedings of recherche dâ ?? information assistee par & hellip ; , COL year VAL "
34905,mining multi-terabyte astronomy archives : the sloan digital sky survey proc . of the conference on,"szalay , pz kunszt , a thakar , j gray , drs designing","dallas ,",,"COL title VAL mining multi-terabyte astronomy archives : the sloan digital sky survey proc . of the conference on COL authors VAL szalay , pz kunszt , a thakar , j gray , drs designing COL venue VAL dallas , COL year VAL "
34906,a case study of two tunnels driven in the singapore â ?? boulder bedâ ?? and in grouted coral sands,"jn shirlaw , sr doran , b benjamin","proceedings of the 23rd annual conference of engineering & hellip ; ,",,"COL title VAL a case study of two tunnels driven in the singapore â ?? boulder bedâ ?? and in grouted coral sands COL authors VAL jn shirlaw , sr doran , b benjamin COL venue VAL proceedings of the 23rd annual conference of engineering & hellip ; , COL year VAL "
34907,human albumin solution for resuscitation and volume expansion in critically ill patients . the,"f bunn , c lefebvre , a li wan po , l li , i roberts ,","cochrane database syst rev ,",2000.0,"COL title VAL human albumin solution for resuscitation and volume expansion in critically ill patients . the COL authors VAL f bunn , c lefebvre , a li wan po , l li , i roberts , COL venue VAL cochrane database syst rev , COL year VAL 2000.0"
34908,region inference for an object-oriented language,"wn chin , f craciun , s qin , m rinard",,,"COL title VAL region inference for an object-oriented language COL authors VAL wn chin , f craciun , s qin , m rinard COL venue VAL  COL year VAL "
34909,circadian rhythmicity and the initiation of gonadal growth in sparrows,fw turek,"journal of comparative physiology a : sensory , neural , and & hellip ; ,",1974.0,"COL title VAL circadian rhythmicity and the initiation of gonadal growth in sparrows COL authors VAL fw turek COL venue VAL journal of comparative physiology a : sensory , neural , and & hellip ; , COL year VAL 1974.0"
34910,steroid-protein interactions,u westphal,,1971.0,COL title VAL steroid-protein interactions COL authors VAL u westphal COL venue VAL  COL year VAL 1971.0
34911,terrestrial water storage : a critical variable for mid-latitude climate and climate change,si seneviratne,,2003.0,COL title VAL terrestrial water storage : a critical variable for mid-latitude climate and climate change COL authors VAL si seneviratne COL venue VAL  COL year VAL 2003.0
34912,mid-tier caching : the timesten approach,t ten team,proceedings of the acm sigmod,,COL title VAL mid-tier caching : the timesten approach COL authors VAL t ten team COL venue VAL proceedings of the acm sigmod COL year VAL 
34913,generating call-level interfaces for advanced database application programming,"u nink , t haerder , n ritter","vldb ,",1999.0,"COL title VAL generating call-level interfaces for advanced database application programming COL authors VAL u nink , t haerder , n ritter COL venue VAL vldb , COL year VAL 1999.0"
34914,interface effects on electrical properties of high purity inp grown by gas-source molecular beam,"k rakennus , k tappura , t hakkarainen , m pessa , h","oulu univ , proceedings of the 25 th annual conference of the & hellip ; ,",1991.0,"COL title VAL interface effects on electrical properties of high purity inp grown by gas-source molecular beam COL authors VAL k rakennus , k tappura , t hakkarainen , m pessa , h COL venue VAL oulu univ , proceedings of the 25 th annual conference of the & hellip ; , COL year VAL 1991.0"
34915,why a single parallelization strategy is not enough in knowledge bases,"s cohen , o wolfson","proceedings of the eighth acm sigact-sigmod-sigart symposium & hellip ; ,",1989.0,"COL title VAL why a single parallelization strategy is not enough in knowledge bases COL authors VAL s cohen , o wolfson COL venue VAL proceedings of the eighth acm sigact-sigmod-sigart symposium & hellip ; , COL year VAL 1989.0"
34916,antibiotic prophylaxis for hernia repair,"fj sanchez-manuel , jl seco-gil","cochrane database syst rev ,",2003.0,"COL title VAL antibiotic prophylaxis for hernia repair COL authors VAL fj sanchez-manuel , jl seco-gil COL venue VAL cochrane database syst rev , COL year VAL 2003.0"
34917,developing ethics education in construction education programs,hd robertson,"proceedings of the 23rd annual conf . of associated schools & hellip ; ,",,"COL title VAL developing ethics education in construction education programs COL authors VAL hd robertson COL venue VAL proceedings of the 23rd annual conf . of associated schools & hellip ; , COL year VAL "
34918,"the history of sexuality , volume 1",m foucault,"new york : vintage ,",,"COL title VAL the history of sexuality , volume 1 COL authors VAL m foucault COL venue VAL new york : vintage , COL year VAL "
34919,"a & goldin , ga ( 1999 ) . aspects of affect : mathematical intimacy , mathematical integrity",v debellis,proceedings of the 23rd international conference of the,,"COL title VAL a & goldin , ga ( 1999 ) . aspects of affect : mathematical intimacy , mathematical integrity COL authors VAL v debellis COL venue VAL proceedings of the 23rd international conference of the COL year VAL "
34920,w3qs : a query system for the world-wide web,"d konopnicki , o shmueli",,,"COL title VAL w3qs : a query system for the world-wide web COL authors VAL d konopnicki , o shmueli COL venue VAL  COL year VAL "
34921,on computing the data cube,"ss sag961 , r agrawal , a gupta","technical report rj10026 , ibm almaden research center , san jose ,",,"COL title VAL on computing the data cube COL authors VAL ss sag961 , r agrawal , a gupta COL venue VAL technical report rj10026 , ibm almaden research center , san jose , COL year VAL "
34922,"jj. , burkhalter , b. conversation trees and threaded chats",mc smith,"proc acm cscw 2000 ,",,"COL title VAL jj. , burkhalter , b. conversation trees and threaded chats COL authors VAL mc smith COL venue VAL proc acm cscw 2000 , COL year VAL "
34923,the great mother of the gods,g showerman,,1901.0,COL title VAL the great mother of the gods COL authors VAL g showerman COL venue VAL  COL year VAL 1901.0
34924,pareto distribution . fairland,bc arnold,"md ,",,"COL title VAL pareto distribution . fairland COL authors VAL bc arnold COL venue VAL md , COL year VAL "
34925,identifying and respecting differences among participants in evaluation studies,dm mertens,"new directions for program evaluation ,",,"COL title VAL identifying and respecting differences among participants in evaluation studies COL authors VAL dm mertens COL venue VAL new directions for program evaluation , COL year VAL "
34926,a hybrid evolutionary local search approach for the unconstrained binary quadratic programming,"p merz , k katayama","submitted for publication ,",,"COL title VAL a hybrid evolutionary local search approach for the unconstrained binary quadratic programming COL authors VAL p merz , k katayama COL venue VAL submitted for publication , COL year VAL "
34927,concurrent maintenance of binary search trees,"ht kung , q lehman","acm transactions on database systems ,",,"COL title VAL concurrent maintenance of binary search trees COL authors VAL ht kung , q lehman COL venue VAL acm transactions on database systems , COL year VAL "
34928,"a. abbadi , and r. steinke . epidemic algorithms in replicated databases",d agrawal,proceedings of the sixteenth acm sigact-sigmod-sigart,,"COL title VAL a. abbadi , and r. steinke . epidemic algorithms in replicated databases COL authors VAL d agrawal COL venue VAL proceedings of the sixteenth acm sigact-sigmod-sigart COL year VAL "
34929,near linear time detection of distance-based outliers and applications to security,"sd bay , m schwabacher",,,"COL title VAL near linear time detection of distance-based outliers and applications to security COL authors VAL sd bay , m schwabacher COL venue VAL  COL year VAL "
34930,9th international conference on automated deduction,"e lusk , r overbeek",,1989.0,"COL title VAL 9th international conference on automated deduction COL authors VAL e lusk , r overbeek COL venue VAL  COL year VAL 1989.0"
34931,soft margins for adaboost,"t onoda , g ratsch , kr muller","machine learning ,",,"COL title VAL soft margins for adaboost COL authors VAL t onoda , g ratsch , kr muller COL venue VAL machine learning , COL year VAL "
34932,functional dependencies in horn clause queries,"ao mendelzon , pt wood","acm transactions on database systems ,",1991.0,"COL title VAL functional dependencies in horn clause queries COL authors VAL ao mendelzon , pt wood COL venue VAL acm transactions on database systems , COL year VAL 1991.0"
34933,perception towards the changing roles of the khasi males in the matrilineal families of meghalaya,i saiborne,"& hellip ; master &#39; s thesis , sndt women &#39; s university , bombay , india ,",,"COL title VAL perception towards the changing roles of the khasi males in the matrilineal families of meghalaya COL authors VAL i saiborne COL venue VAL & hellip ; master &#39; s thesis , sndt women &#39; s university , bombay , india , COL year VAL "
34934,tail recursion elimination in deductive databases,ka ross,"acm transactions on database systems ,",1996.0,"COL title VAL tail recursion elimination in deductive databases COL authors VAL ka ross COL venue VAL acm transactions on database systems , COL year VAL 1996.0"
34935,fast verification of any remote procedure call : short witness-indistinguishable one-round proofs for,"w aiello , s bhatt , r ostrovsky , s rajagopalan","lecture notes in computer science ,",2000.0,"COL title VAL fast verification of any remote procedure call : short witness-indistinguishable one-round proofs for COL authors VAL w aiello , s bhatt , r ostrovsky , s rajagopalan COL venue VAL lecture notes in computer science , COL year VAL 2000.0"
34936,a framework and test-suite for assessing approaches to resolving heterogeneity in distributed,"ht el-khatib , mh williams , lm mackinnon , dh","information & software technology ,",2000.0,"COL title VAL a framework and test-suite for assessing approaches to resolving heterogeneity in distributed COL authors VAL ht el-khatib , mh williams , lm mackinnon , dh COL venue VAL information & software technology , COL year VAL 2000.0"
34937,"distributed clustering for scalable , long-lived sensor networks","o younis , s fahmy",,,"COL title VAL distributed clustering for scalable , long-lived sensor networks COL authors VAL o younis , s fahmy COL venue VAL  COL year VAL "
34938,the annealing of thermal conductivity changes in electron-irradiated graphite,"pr goggin , wn reynolds","phil . mag ,",1963.0,"COL title VAL the annealing of thermal conductivity changes in electron-irradiated graphite COL authors VAL pr goggin , wn reynolds COL venue VAL phil . mag , COL year VAL 1963.0"
34939,for here or to go ? downloading music on the move with an ultra reliable wireless internet,"v ghini , g pau , m roccetti , p salomoni , m gerla","computer networks ,",2005.0,"COL title VAL for here or to go ? downloading music on the move with an ultra reliable wireless internet COL authors VAL v ghini , g pau , m roccetti , p salomoni , m gerla COL venue VAL computer networks , COL year VAL 2005.0"
34940,answering queries in relational databases,"ad ` atri , m moscarini , n spyratos","proceedings of the 1983 acm sigmod international conference & hellip ; ,",1983.0,"COL title VAL answering queries in relational databases COL authors VAL ad ` atri , m moscarini , n spyratos COL venue VAL proceedings of the 1983 acm sigmod international conference & hellip ; , COL year VAL 1983.0"
34941,toward network data indepence,jm hellerstein,"acm sigmod record ,",,"COL title VAL toward network data indepence COL authors VAL jm hellerstein COL venue VAL acm sigmod record , COL year VAL "
34942,"phylip ( phylogeny inference package ) computer program , version 3.5 c",j felsenstein,,1993.0,"COL title VAL phylip ( phylogeny inference package ) computer program , version 3.5 c COL authors VAL j felsenstein COL venue VAL  COL year VAL 1993.0"
34943,information organization using rufus,"a luniewski , p schwarz , k shoens , j stamos , j","proceedings of the 1993 acm sigmod international conference & hellip ; ,",1993.0,"COL title VAL information organization using rufus COL authors VAL a luniewski , p schwarz , k shoens , j stamos , j COL venue VAL proceedings of the 1993 acm sigmod international conference & hellip ; , COL year VAL 1993.0"
34944,solid-phase syntheses of-turn analogues to mimic or disrupt protein-protein interactions,k burgess,"acc . chem . res ,",2001.0,"COL title VAL solid-phase syntheses of-turn analogues to mimic or disrupt protein-protein interactions COL authors VAL k burgess COL venue VAL acc . chem . res , COL year VAL 2001.0"
34945,design and ltcc integrated tri-band direct conversion receiver frontend module [ a ] . 2002 ieee mtt-s,"l rodolfo , p anthony , p davidâ ? ¦","seattle , washington ,",,"COL title VAL design and ltcc integrated tri-band direct conversion receiver frontend module [ a ] . 2002 ieee mtt-s COL authors VAL l rodolfo , p anthony , p davidâ ? ¦ COL venue VAL seattle , washington , COL year VAL "
34946,the social system of the sanuma of northern brazil,ar ramos,,1972.0,COL title VAL the social system of the sanuma of northern brazil COL authors VAL ar ramos COL venue VAL  COL year VAL 1972.0
34947,"the second text retrieval conference ( trec-2 ) , gaithersburg",dk harman,"md ,",,"COL title VAL the second text retrieval conference ( trec-2 ) , gaithersburg COL authors VAL dk harman COL venue VAL md , COL year VAL "
34948,air quality valuation using contingent ranking,"p riera , r penin","proceedings 25 theuropean transport forum ,",,"COL title VAL air quality valuation using contingent ranking COL authors VAL p riera , r penin COL venue VAL proceedings 25 theuropean transport forum , COL year VAL "
34949,data bubbles : quality preserving performance boosting for hierarchical clustering,"mm breunig , hp kriegel , j sander","sigmod record ,",2001.0,"COL title VAL data bubbles : quality preserving performance boosting for hierarchical clustering COL authors VAL mm breunig , hp kriegel , j sander COL venue VAL sigmod record , COL year VAL 2001.0"
34950,off-training-set error for the gibbs and the bayes optimal generalizers,"m knill , t grossman , d wolpert",,1994.0,"COL title VAL off-training-set error for the gibbs and the bayes optimal generalizers COL authors VAL m knill , t grossman , d wolpert COL venue VAL  COL year VAL 1994.0"
34951,internet browsing and searching ( poster ) : user evaluations of category map and concept space,"h chen , br schatz , al houston , rr sewell , td ng , c","proceedings of the second acm international conference on & hellip ; ,",1997.0,"COL title VAL internet browsing and searching ( poster ) : user evaluations of category map and concept space COL authors VAL h chen , br schatz , al houston , rr sewell , td ng , c COL venue VAL proceedings of the second acm international conference on & hellip ; , COL year VAL 1997.0"
34952,enhancing cross-language information retrieval by an automatic acquisition of bilingual terminology,"f sadat , m yoshikawa , s uemura",,,"COL title VAL enhancing cross-language information retrieval by an automatic acquisition of bilingual terminology COL authors VAL f sadat , m yoshikawa , s uemura COL venue VAL  COL year VAL "
34953,associative computing : a programming paradigm for massively parallel computers,jl potter,,,COL title VAL associative computing : a programming paradigm for massively parallel computers COL authors VAL jl potter COL venue VAL  COL year VAL 
34954,using reinforcement leaming to spider the web efficiendy [ j ],"j rennie , ak mccallum","computer networks ,",,"COL title VAL using reinforcement leaming to spider the web efficiendy [ j ] COL authors VAL j rennie , ak mccallum COL venue VAL computer networks , COL year VAL "
34955,principled evaluation : a critique of the aea guiding principles,er house,"new directions for program evaluation ,",,"COL title VAL principled evaluation : a critique of the aea guiding principles COL authors VAL er house COL venue VAL new directions for program evaluation , COL year VAL "
34956,"k.-i . ( david ) lin , fastmap : a fast alogorithm for indexing , data-mining and visualization of",c faloutsos,"proc . of sigmod ,",,"COL title VAL k.-i . ( david ) lin , fastmap : a fast alogorithm for indexing , data-mining and visualization of COL authors VAL c faloutsos COL venue VAL proc . of sigmod , COL year VAL "
34957,"transactional information systems : theory , algorithms , and the practice of concurrency control and",mh scholl,"acm sigmod record ,",2001.0,"COL title VAL transactional information systems : theory , algorithms , and the practice of concurrency control and COL authors VAL mh scholl COL venue VAL acm sigmod record , COL year VAL 2001.0"
34958,r. bruce salinger,rb salinger,"proceedings of the second acm international conference on & hellip ; ,",1994.0,"COL title VAL r. bruce salinger COL authors VAL rb salinger COL venue VAL proceedings of the second acm international conference on & hellip ; , COL year VAL 1994.0"
34959,pharmacokinetics of a new galenical formulation of oral cyclosporine a in stable kidney transplanted,"ac foradori , l martinez , a vacarezza , l elberg","transplantation proceedings ,",1994.0,"COL title VAL pharmacokinetics of a new galenical formulation of oral cyclosporine a in stable kidney transplanted COL authors VAL ac foradori , l martinez , a vacarezza , l elberg COL venue VAL transplantation proceedings , COL year VAL 1994.0"
