id,title,authors,venue,year,text
1404,temporal aggregation in active database rules,"i motakis , c zaniolo",sigmod conference,1997,"COL title VAL temporal aggregation in active database rules COL authors VAL i motakis , c zaniolo COL venue VAL sigmod conference COL year VAL 1997"
1405,controlling data warehouses with knowledge networks,"e schaefer , j becker , a boehmer , m jarke",vldb,2000,"COL title VAL controlling data warehouses with knowledge networks COL authors VAL e schaefer , j becker , a boehmer , m jarke COL venue VAL vldb COL year VAL 2000"
1406,e.piphany epicenter technology overview,s ramaswamy,vldb,2000,COL title VAL e.piphany epicenter technology overview COL authors VAL s ramaswamy COL venue VAL vldb COL year VAL 2000
1407,secure transaction processing in firm real-time database systems,"b george , j haritsa",sigmod conference,1997,"COL title VAL secure transaction processing in firm real-time database systems COL authors VAL b george , j haritsa COL venue VAL sigmod conference COL year VAL 1997"
1408,on efficiently implementing schemasql on an sql database system,"l lakshmanan , f sadri , s subramanian",vldb,1999,"COL title VAL on efficiently implementing schemasql on an sql database system COL authors VAL l lakshmanan , f sadri , s subramanian COL venue VAL vldb COL year VAL 1999"
1409,the dangers of replication and a solution,"j gray , p helland , p o'neil , d shasha",sigmod conference,1996,"COL title VAL the dangers of replication and a solution COL authors VAL j gray , p helland , p o'neil , d shasha COL venue VAL sigmod conference COL year VAL 1996"
1410,performance tradeoffs for client-server query processing,"m franklin , b jѓnsson , d kossmann",sigmod conference,1996,"COL title VAL performance tradeoffs for client-server query processing COL authors VAL m franklin , b jѓnsson , d kossmann COL venue VAL sigmod conference COL year VAL 1996"
1411,"physical data independence , constraints , and optimization with universal plans","a deutsch , l popa , v tannen",vldb,1999,"COL title VAL physical data independence , constraints , and optimization with universal plans COL authors VAL a deutsch , l popa , v tannen COL venue VAL vldb COL year VAL 1999"
1412,user-defined table operators : enhancing extensibility for ordbms,"m jaedicke , b mitschang",vldb,1999,"COL title VAL user-defined table operators : enhancing extensibility for ordbms COL authors VAL m jaedicke , b mitschang COL venue VAL vldb COL year VAL 1999"
1413,random i/o scheduling in online tertiary storage systems,"b hillyer , a silberschatz",sigmod conference,1996,"COL title VAL random i/o scheduling in online tertiary storage systems COL authors VAL b hillyer , a silberschatz COL venue VAL sigmod conference COL year VAL 1996"
1414,hot mirroring : a study to hide parity upgrade penalty and degradations during rebuilds for raid5,"k mogi , m kitsuregawa",sigmod conference,1996,"COL title VAL hot mirroring : a study to hide parity upgrade penalty and degradations during rebuilds for raid5 COL authors VAL k mogi , m kitsuregawa COL venue VAL sigmod conference COL year VAL 1996"
1415,unrolling cycles to decide trigger termination,"s lee , t ling",vldb,1999,"COL title VAL unrolling cycles to decide trigger termination COL authors VAL s lee , t ling COL venue VAL vldb COL year VAL 1999"
1416,on-line reorganization of sparsely-populated b + trees,"c zou , b salzberg",sigmod conference,1996,"COL title VAL on-line reorganization of sparsely-populated b + trees COL authors VAL c zou , b salzberg COL venue VAL sigmod conference COL year VAL 1996"
1417,similarity search in high dimensions via hashing,"a gionis , p indyk , r motwani",vldb,1999,"COL title VAL similarity search in high dimensions via hashing COL authors VAL a gionis , p indyk , r motwani COL venue VAL vldb COL year VAL 1999"
1418,optimal grid-clustering : towards breaking the curse of dimensionality in high-dimensional clustering,"a hinneburg , d keim",vldb,1999,"COL title VAL optimal grid-clustering : towards breaking the curse of dimensionality in high-dimensional clustering COL authors VAL a hinneburg , d keim COL venue VAL vldb COL year VAL 1999"
1419,birch : an efficient data clustering method for very large databases,"t zhang , r ramakrishnan , m livny",sigmod conference,1996,"COL title VAL birch : an efficient data clustering method for very large databases COL authors VAL t zhang , r ramakrishnan , m livny COL venue VAL sigmod conference COL year VAL 1996"
1420,"o-o , what have they done to db2 ?","m carey , d chamberlin , s narayanan , b vance , d doole , s rielau , r swagerman , n mattos",vldb,1999,"COL title VAL o-o , what have they done to db2 ? COL authors VAL m carey , d chamberlin , s narayanan , b vance , d doole , s rielau , r swagerman , n mattos COL venue VAL vldb COL year VAL 1999"
1421,query caching and optimization in distributed mediator systems,"s adali , k candan , y papakonstantinou , v subrahmanian",sigmod conference,1996,"COL title VAL query caching and optimization in distributed mediator systems COL authors VAL s adali , k candan , y papakonstantinou , v subrahmanian COL venue VAL sigmod conference COL year VAL 1996"
1422,two techniques for on-line index modification in shared nothing parallel databases,"k achyutuni , e omiecinski , s navathe",sigmod conference,1996,"COL title VAL two techniques for on-line index modification in shared nothing parallel databases COL authors VAL k achyutuni , e omiecinski , s navathe COL venue VAL sigmod conference COL year VAL 1996"
1423,what can hierarchies do for data warehouses ?,"h jagadish , l lakshmanan , d srivastava",vldb,1999,"COL title VAL what can hierarchies do for data warehouses ? COL authors VAL h jagadish , l lakshmanan , d srivastava COL venue VAL vldb COL year VAL 1999"
1424,relational databases for querying xml documents : limitations and opportunities,"j shanmugasundaram , k tufte , c zhang , g he , d dewitt , j naughton",vldb,1999,"COL title VAL relational databases for querying xml documents : limitations and opportunities COL authors VAL j shanmugasundaram , k tufte , c zhang , g he , d dewitt , j naughton COL venue VAL vldb COL year VAL 1999"
1425,rapid bushy join-order optimization with cartesian products,"b vance , d maier",sigmod conference,1996,"COL title VAL rapid bushy join-order optimization with cartesian products COL authors VAL b vance , d maier COL venue VAL sigmod conference COL year VAL 1996"
1426,performance measurements of compressed bitmap indices,t johnson,vldb,1999,COL title VAL performance measurements of compressed bitmap indices COL authors VAL t johnson COL venue VAL vldb COL year VAL 1999
1427,objectivity industrial exhibit,o objectivity,vldb,1998,COL title VAL objectivity industrial exhibit COL authors VAL o objectivity COL venue VAL vldb COL year VAL 1998
1428,idea : interactive data exploration and analysis,"p selfridge , d srivastava , l wilson",sigmod conference,1996,"COL title VAL idea : interactive data exploration and analysis COL authors VAL p selfridge , d srivastava , l wilson COL venue VAL sigmod conference COL year VAL 1996"
1429,optimizing queries over multimedia repositories,"s chaudhuri , l gravano",sigmod conference,1996,"COL title VAL optimizing queries over multimedia repositories COL authors VAL s chaudhuri , l gravano COL venue VAL sigmod conference COL year VAL 1996"
1430,loading a cache with query results,"l haas , d kossmann , i ursu",vldb,1999,"COL title VAL loading a cache with query results COL authors VAL l haas , d kossmann , i ursu COL venue VAL vldb COL year VAL 1999"
1431,query optimization for xml,"j mchugh , j widom",vldb,1999,"COL title VAL query optimization for xml COL authors VAL j mchugh , j widom COL venue VAL vldb COL year VAL 1999"
1432,sql query optimization : reordering for a general class of queries,"p goel , b iyer",sigmod conference,1996,"COL title VAL sql query optimization : reordering for a general class of queries COL authors VAL p goel , b iyer COL venue VAL sigmod conference COL year VAL 1996"
1433,probabilistic optimization of top n queries,"d donjerkovic , r ramakrishnan",vldb,1999,"COL title VAL probabilistic optimization of top n queries COL authors VAL d donjerkovic , r ramakrishnan COL venue VAL vldb COL year VAL 1999"
1434,bess : storage support for interactive visualization systems,"a biliris , t funkhouser , w o'connell , e panagos",sigmod conference,1996,"COL title VAL bess : storage support for interactive visualization systems COL authors VAL a biliris , t funkhouser , w o'connell , e panagos COL venue VAL sigmod conference COL year VAL 1996"
1435,multi-dimensional substring selectivity estimation,"h jagadish , o kapitskaia , r ng , d srivastava",vldb,1999,"COL title VAL multi-dimensional substring selectivity estimation COL authors VAL h jagadish , o kapitskaia , r ng , d srivastava COL venue VAL vldb COL year VAL 1999"
1436,capbased-ams : a capability-based and event-driven activity management system,"p hung , h yeung , k karlapalem",sigmod conference,1996,"COL title VAL capbased-ams : a capability-based and event-driven activity management system COL authors VAL p hung , h yeung , k karlapalem COL venue VAL sigmod conference COL year VAL 1996"
1437,quality-driven integration of heterogenous information systems,"f naumann , u leser , j freytag",vldb,1999,"COL title VAL quality-driven integration of heterogenous information systems COL authors VAL f naumann , u leser , j freytag COL venue VAL vldb COL year VAL 1999"
1438,"data mining using two-dimensional optimized accociation rules : scheme , algorithms , and visualization","t fukuda , y morimoto , s morishita , t tokuyama",sigmod conference,1996,"COL title VAL data mining using two-dimensional optimized accociation rules : scheme , algorithms , and visualization COL authors VAL t fukuda , y morimoto , s morishita , t tokuyama COL venue VAL sigmod conference COL year VAL 1996"
1439,mining quantitative association rules in large relational tables,"r srikant , r agrawal",sigmod conference,1996,"COL title VAL mining quantitative association rules in large relational tables COL authors VAL r srikant , r agrawal COL venue VAL sigmod conference COL year VAL 1996"
1440,integrating heterogenous overlapping databases through object-oriented transformations,"v josifovski , t risch",vldb,1999,"COL title VAL integrating heterogenous overlapping databases through object-oriented transformations COL authors VAL v josifovski , t risch COL venue VAL vldb COL year VAL 1999"
1441,issues in network management in the next millennium,"m brodie , s chaudhuri",vldb,1999,"COL title VAL issues in network management in the next millennium COL authors VAL m brodie , s chaudhuri COL venue VAL vldb COL year VAL 1999"
1442,databases and visualization,d keim,sigmod conference,1996,COL title VAL databases and visualization COL authors VAL d keim COL venue VAL sigmod conference COL year VAL 1996
1443,networked data management design points,j hamilton,vldb,1999,COL title VAL networked data management design points COL authors VAL j hamilton COL venue VAL vldb COL year VAL 1999
1444,data mining techniques,j han,sigmod conference,1996,COL title VAL data mining techniques COL authors VAL j han COL venue VAL sigmod conference COL year VAL 1996
1445,dbsim : a simulation tool for predicting database performance,"m lefler , m stokrp , c wong",sigmod conference,1996,"COL title VAL dbsim : a simulation tool for predicting database performance COL authors VAL m lefler , m stokrp , c wong COL venue VAL sigmod conference COL year VAL 1996"
1446,in cyber space no one can hear you scream,c pound,vldb,1999,COL title VAL in cyber space no one can hear you scream COL authors VAL c pound COL venue VAL vldb COL year VAL 1999
1447,dbminer : interactive mining of multiple-level knowledge in relational databases,"j han , y fu , w wang , j chiang , o zaяane , k koperski",sigmod conference,1996,"COL title VAL dbminer : interactive mining of multiple-level knowledge in relational databases COL authors VAL j han , y fu , w wang , j chiang , o zaяane , k koperski COL venue VAL sigmod conference COL year VAL 1996"
1448,spirit : sequential pattern mining with regular expression constraints,"m garofalakis , r rastogi , k shim",vldb,1999,"COL title VAL spirit : sequential pattern mining with regular expression constraints COL authors VAL m garofalakis , r rastogi , k shim COL venue VAL vldb COL year VAL 1999"
1449,a framework for supporting data integration using the materialized and virtual approaches,"r hull , g zhou",sigmod conference,1996,"COL title VAL a framework for supporting data integration using the materialized and virtual approaches COL authors VAL r hull , g zhou COL venue VAL sigmod conference COL year VAL 1996"
1450,microsoft english query 7.5 : automatic extraction of semantics from relational databases and olap cubes,a blum,vldb,1999,COL title VAL microsoft english query 7.5 : automatic extraction of semantics from relational databases and olap cubes COL authors VAL a blum COL venue VAL vldb COL year VAL 1999
1451,change detection in hierarchically structured information,"s chawathe , a rajaraman , h garcia-molina , j widom",sigmod conference,1996,"COL title VAL change detection in hierarchically structured information COL authors VAL s chawathe , a rajaraman , h garcia-molina , j widom COL venue VAL sigmod conference COL year VAL 1996"
1452,"the new locking , logging , and recovery architecture of microsoft sql server 7.0",d campbell,vldb,1999,"COL title VAL the new locking , logging , and recovery architecture of microsoft sql server 7.0 COL authors VAL d campbell COL venue VAL vldb COL year VAL 1999"
1453,the value of merge-join and hash-join in sql server,g graefe,vldb,1999,COL title VAL the value of merge-join and hash-join in sql server COL authors VAL g graefe COL venue VAL vldb COL year VAL 1999
1454,a query language and optimization techniques for unstructured data,"p buneman , s davidson , g hillebrand , d suciu",sigmod conference,1996,"COL title VAL a query language and optimization techniques for unstructured data COL authors VAL p buneman , s davidson , g hillebrand , d suciu COL venue VAL sigmod conference COL year VAL 1996"
1455,voodb : a generic discrete-event random simulation model to evaluate the performances of oodbs,"j darmont , m schneider",vldb,1999,"COL title VAL voodb : a generic discrete-event random simulation model to evaluate the performances of oodbs COL authors VAL j darmont , m schneider COL venue VAL vldb COL year VAL 1999"
1456,accessing relational databases from the world wide web,"t nguyen , v srinivasan",sigmod conference,1996,"COL title VAL accessing relational databases from the world wide web COL authors VAL t nguyen , v srinivasan COL venue VAL sigmod conference COL year VAL 1996"
1457,goal-oriented buffer management revisited,"k brown , m carey , m livny",sigmod conference,1996,"COL title VAL goal-oriented buffer management revisited COL authors VAL k brown , m carey , m livny COL venue VAL sigmod conference COL year VAL 1996"
1458,building light-weight wrappers for legacy web data-sources using w4f,"a sahuguet , f azavant",vldb,1999,"COL title VAL building light-weight wrappers for legacy web data-sources using w4f COL authors VAL a sahuguet , f azavant COL venue VAL vldb COL year VAL 1999"
1459,aqua : a fast decision support systems using approximate query answers,"s acharya , p gibbons , v poosala",vldb,1999,"COL title VAL aqua : a fast decision support systems using approximate query answers COL authors VAL s acharya , p gibbons , v poosala COL venue VAL vldb COL year VAL 1999"
1460,evaluating queries with generalized path expressions,"v christophides , s cluet , g moerkotte",sigmod conference,1996,"COL title VAL evaluating queries with generalized path expressions COL authors VAL v christophides , s cluet , g moerkotte COL venue VAL sigmod conference COL year VAL 1996"
1461,repeating history beyond aries,c mohan,vldb,1999,COL title VAL repeating history beyond aries COL authors VAL c mohan COL venue VAL vldb COL year VAL 1999
1462,cost-based optimization for magic : algebra and implementation,"p seshadri , j hellerstein , h pirahesh , t leung , r ramakrishnan , d srivastava , p stuckey , s sudarshan",sigmod conference,1996,"COL title VAL cost-based optimization for magic : algebra and implementation COL authors VAL p seshadri , j hellerstein , h pirahesh , t leung , r ramakrishnan , d srivastava , p stuckey , s sudarshan COL venue VAL sigmod conference COL year VAL 1996"
1463,online feedback for nested aggregate queries with multi-threading,"k tan , c goh , b ooi",vldb,1999,"COL title VAL online feedback for nested aggregate queries with multi-threading COL authors VAL k tan , c goh , b ooi COL venue VAL vldb COL year VAL 1999"
1464,algorithms for deferred view maintenance,"l colby , t griffin , l libkin , i mumick , h trickey",sigmod conference,1996,"COL title VAL algorithms for deferred view maintenance COL authors VAL l colby , t griffin , l libkin , i mumick , h trickey COL venue VAL sigmod conference COL year VAL 1996"
1465,the persistent cache : improving oid indexing in temporal object-oriented database systems,k nјrvхg,vldb,1999,COL title VAL the persistent cache : improving oid indexing in temporal object-oriented database systems COL authors VAL k nјrvхg COL venue VAL vldb COL year VAL 1999
1466,"a query language for multidimensional arrays : design , implementation , and optimization techniques","l libkin , r machlin , l wong",sigmod conference,1996,"COL title VAL a query language for multidimensional arrays : design , implementation , and optimization techniques COL authors VAL l libkin , r machlin , l wong COL venue VAL sigmod conference COL year VAL 1996"
1467,mining deviants in a time series database,"h jagadish , n koudas , s muthukrishnan",vldb,1999,"COL title VAL mining deviants in a time series database COL authors VAL h jagadish , n koudas , s muthukrishnan COL venue VAL vldb COL year VAL 1999"
1468,a super scalar sort algorithm for risc processors,r agarwal,sigmod conference,1996,COL title VAL a super scalar sort algorithm for risc processors COL authors VAL r agarwal COL venue VAL sigmod conference COL year VAL 1996
1469,histogram-based approximation of set-valued query-answers,"y ioannidis , v poosala",vldb,1999,"COL title VAL histogram-based approximation of set-valued query-answers COL authors VAL y ioannidis , v poosala COL venue VAL vldb COL year VAL 1999"
1470,bifocal sampling for skew-resistant join size estimation,"s ganguly , p gibbons , y matias , a silberschatz",sigmod conference,1996,"COL title VAL bifocal sampling for skew-resistant join size estimation COL authors VAL s ganguly , p gibbons , y matias , a silberschatz COL venue VAL sigmod conference COL year VAL 1996"
1471,semantic compression and pattern extraction with fascicles,"h jagadish , j madar , r ng",vldb,1999,"COL title VAL semantic compression and pattern extraction with fascicles COL authors VAL h jagadish , j madar , r ng COL venue VAL vldb COL year VAL 1999"
1472,estimating alphanumeric selectivity in the presence of wildcards,"p krishnan , j vitter , b iyer",sigmod conference,1996,"COL title VAL estimating alphanumeric selectivity in the presence of wildcards COL authors VAL p krishnan , j vitter , b iyer COL venue VAL sigmod conference COL year VAL 1996"
1473,adaptive parallel aggregation algorithms,"a shatdal , j naughton",sigmod conference,1995,"COL title VAL adaptive parallel aggregation algorithms COL authors VAL a shatdal , j naughton COL venue VAL sigmod conference COL year VAL 1995"
1474,extending practical pre-aggregation in on-line analytical processing,"t pedersen , c jensen , c dyreson",vldb,1999,"COL title VAL extending practical pre-aggregation in on-line analytical processing COL authors VAL t pedersen , c jensen , c dyreson COL venue VAL vldb COL year VAL 1999"
1475,aggregation algorithms for very large compressed data warehouses,"j li , d rotem , j srivastava",vldb,1999,"COL title VAL aggregation algorithms for very large compressed data warehouses COL authors VAL j li , d rotem , j srivastava COL venue VAL vldb COL year VAL 1999"
1476,a general solution of the n-dimensional b-tree problem,m freeston,sigmod conference,1995,COL title VAL a general solution of the n-dimensional b-tree problem COL authors VAL m freeston COL venue VAL sigmod conference COL year VAL 1995
1477,extracting large-scale knowledge bases from the web,"r kumar , p raghavan , s rajagopalan , a tomkins",vldb,1999,"COL title VAL extracting large-scale knowledge bases from the web COL authors VAL r kumar , p raghavan , s rajagopalan , a tomkins COL venue VAL vldb COL year VAL 1999"
1478,efficient optimistic concurrency control using loosely synchronized clocks,"a adya , r gruber , b liskov , u maheshwari",sigmod conference,1995,"COL title VAL efficient optimistic concurrency control using loosely synchronized clocks COL authors VAL a adya , r gruber , b liskov , u maheshwari COL venue VAL sigmod conference COL year VAL 1995"
1479,"data-driven , one-to-one web site generation for data-intensive applications","s ceri , p fraternali , s paraboschi",vldb,1999,"COL title VAL data-driven , one-to-one web site generation for data-intensive applications COL authors VAL s ceri , p fraternali , s paraboschi COL venue VAL vldb COL year VAL 1999"
1480,a critique of ansi sql isolation levels,"h berenson , p bernstein , j gray , j melton , e o'neil , p o'neil",sigmod conference,1995,"COL title VAL a critique of ansi sql isolation levels COL authors VAL h berenson , p bernstein , j gray , j melton , e o'neil , p o'neil COL venue VAL sigmod conference COL year VAL 1995"
1481,the garlic project,"m roth , m arya , l haas , m carey , w cody , r fagin , p schwarz , j ii , e wimmers",sigmod conference,1996,"COL title VAL the garlic project COL authors VAL m roth , m arya , l haas , m carey , w cody , r fagin , p schwarz , j ii , e wimmers COL venue VAL sigmod conference COL year VAL 1996"
1482,curio : a novel solution for efficient storage and indexing in data warehouses,"a datta , k ramamritham , h thomas",vldb,1999,"COL title VAL curio : a novel solution for efficient storage and indexing in data warehouses COL authors VAL a datta , k ramamritham , h thomas COL venue VAL vldb COL year VAL 1999"
1483,datawarehousing has more colours than just black & white,"t zurek , m sinnwell",vldb,1999,"COL title VAL datawarehousing has more colours than just black & white COL authors VAL t zurek , m sinnwell COL venue VAL vldb COL year VAL 1999"
1484,the multiview project : object-oriented view technology and applications,"e rundensteiner , h kuno , y ra , v crestana-taube , m jones , p marrѓn",sigmod conference,1996,"COL title VAL the multiview project : object-oriented view technology and applications COL authors VAL e rundensteiner , h kuno , y ra , v crestana-taube , m jones , p marrѓn COL venue VAL sigmod conference COL year VAL 1996"
1485,sonar : system for optimized numeric associationrules,"t fukuda , y morimoto , s morishita , t tokuyama",sigmod conference,1996,"COL title VAL sonar : system for optimized numeric associationrules COL authors VAL t fukuda , y morimoto , s morishita , t tokuyama COL venue VAL sigmod conference COL year VAL 1996"
1486,high-performance extensible indexing,m kornacker,vldb,1999,COL title VAL high-performance extensible indexing COL authors VAL m kornacker COL venue VAL vldb COL year VAL 1999
1487,metu interoperable database system,"a dogac , u halici , e kilic , g жzhan , f ozcan , s nural , c dengi , s mancuhan , i arpinar , p koksal , c evrendilek",sigmod conference,1996,"COL title VAL metu interoperable database system COL authors VAL a dogac , u halici , e kilic , g жzhan , f ozcan , s nural , c dengi , s mancuhan , i arpinar , p koksal , c evrendilek COL venue VAL sigmod conference COL year VAL 1996"
1488,hierarchical prefix cubes for range-sum queries,"c chan , y ioannidis",vldb,1999,"COL title VAL hierarchical prefix cubes for range-sum queries COL authors VAL c chan , y ioannidis COL venue VAL vldb COL year VAL 1999"
1489,prospector : a content-based multimedia server for massively parallel architectures,"s choo , w o'connell , g linderman , h chen , k ganapathi , a biliris , e panagos , d schrader",sigmod conference,1996,"COL title VAL prospector : a content-based multimedia server for massively parallel architectures COL authors VAL s choo , w o'connell , g linderman , h chen , k ganapathi , a biliris , e panagos , d schrader COL venue VAL sigmod conference COL year VAL 1996"
1490,combining histograms and parametric curve fitting for feedback-driven query result-size estimation,"a kіnig , g weikum",vldb,1999,"COL title VAL combining histograms and parametric curve fitting for feedback-driven query result-size estimation COL authors VAL a kіnig , g weikum COL venue VAL vldb COL year VAL 1999"
1491,lore : a lightweight object repository for semistructured data,"d quass , j widom , r goldman , k haas , q luo , j mchugh , s nestorov , a rajaraman , h rivero , s abiteboul , j ullman , j wiener",sigmod conference,1996,"COL title VAL lore : a lightweight object repository for semistructured data COL authors VAL d quass , j widom , r goldman , k haas , q luo , j mchugh , s nestorov , a rajaraman , h rivero , s abiteboul , j ullman , j wiener COL venue VAL sigmod conference COL year VAL 1996"
1492,evaluating top-k selection queries,"s chaudhuri , l gravano",vldb,1999,"COL title VAL evaluating top-k selection queries COL authors VAL s chaudhuri , l gravano COL venue VAL vldb COL year VAL 1999"
1493,hyperstorm - administering structured documents using object-oriented database technology,"k bіhm , k aberer",sigmod conference,1996,"COL title VAL hyperstorm - administering structured documents using object-oriented database technology COL authors VAL k bіhm , k aberer COL venue VAL sigmod conference COL year VAL 1996"
1494,distributed hypertext resource discovery through examples,"s chakrabarti , m berg , b dom",vldb,1999,"COL title VAL distributed hypertext resource discovery through examples COL authors VAL s chakrabarti , m berg , b dom COL venue VAL vldb COL year VAL 1999"
1495,thinksheet : a tool for tailoring complex documents,"p piatko , r yangarber , d lin , d shasha",sigmod conference,1996,"COL title VAL thinksheet : a tool for tailoring complex documents COL authors VAL p piatko , r yangarber , d lin , d shasha COL venue VAL sigmod conference COL year VAL 1996"
1496,building hierarchical classifiers using class proximity,"k wang , s zhou , s liew",vldb,1999,"COL title VAL building hierarchical classifiers using class proximity COL authors VAL k wang , s zhou , s liew COL venue VAL vldb COL year VAL 1999"
1497,"active storage hierarchy , database systems and applications - socratic exegesis","f cariёo , w o'connell , j burgess , j saltz",vldb,1999,"COL title VAL active storage hierarchy , database systems and applications - socratic exegesis COL authors VAL f cariёo , w o'connell , j burgess , j saltz COL venue VAL vldb COL year VAL 1999"
1498,state of the art in workflow management research and products,,,1996,COL title VAL state of the art in workflow management research and products COL authors VAL  COL venue VAL  COL year VAL 1996
1499,repository system engineering,,,1996,COL title VAL repository system engineering COL authors VAL  COL venue VAL  COL year VAL 1996
1500,cost models do matter : providing cost information for diverse data sources in a federated system,"m roth , f ozcan , l haas",vldb,1999,"COL title VAL cost models do matter : providing cost information for diverse data sources in a federated system COL authors VAL m roth , f ozcan , l haas COL venue VAL vldb COL year VAL 1999"
1501,generating call-level interfaces for advanced database application programming,"u nink , t hфrder , n ritter",vldb,1999,"COL title VAL generating call-level interfaces for advanced database application programming COL authors VAL u nink , t hфrder , n ritter COL venue VAL vldb COL year VAL 1999"
1502,the ins and outs ( and everthing in between ) of data warehousing,,,1996,COL title VAL the ins and outs ( and everthing in between ) of data warehousing COL authors VAL  COL venue VAL  COL year VAL 1996
1503,high level indexing of user-defined types,"w chen , j chow , y fuh , j grandbois , m jou , n mattos , b tran , y wang",vldb,1999,"COL title VAL high level indexing of user-defined types COL authors VAL w chen , j chow , y fuh , j grandbois , m jou , n mattos , b tran , y wang COL venue VAL vldb COL year VAL 1999"
1504,is gui programming a database research problem ?,"n goyal , c hoch , r krishnamurthy , b meckler , m suckow",sigmod conference,1996,"COL title VAL is gui programming a database research problem ? COL authors VAL n goyal , c hoch , r krishnamurthy , b meckler , m suckow COL venue VAL sigmod conference COL year VAL 1996"
1505,materialized view maintenance and integrity constraint checking : trading space for time,"k ross , d srivastava , s sudarshan",sigmod conference,1996,"COL title VAL materialized view maintenance and integrity constraint checking : trading space for time COL authors VAL k ross , d srivastava , s sudarshan COL venue VAL sigmod conference COL year VAL 1996"
1506,finding intensional knowledge of distance-based outliers,"e knorr , r ng",vldb,1999,"COL title VAL finding intensional knowledge of distance-based outliers COL authors VAL e knorr , r ng COL venue VAL vldb COL year VAL 1999"
1507,a novel index supporting high volume data warehouse insertion,"c jermaine , a datta , e omiecinski",vldb,1999,"COL title VAL a novel index supporting high volume data warehouse insertion COL authors VAL c jermaine , a datta , e omiecinski COL venue VAL vldb COL year VAL 1999"
1508,maintaining database consistency in presence of value dependencies in multidatabase systems,"c morpain , m cart , j ferriщ , j pons",sigmod conference,1996,"COL title VAL maintaining database consistency in presence of value dependencies in multidatabase systems COL authors VAL c morpain , m cart , j ferriщ , j pons COL venue VAL sigmod conference COL year VAL 1996"
1509,rule languages and internal algebras for rule-based optimizers,"m cherniack , s zdonik",sigmod conference,1996,"COL title VAL rule languages and internal algebras for rule-based optimizers COL authors VAL m cherniack , s zdonik COL venue VAL sigmod conference COL year VAL 1996"
1510,dynamic load balancing for parallel association rule mining on heterogenous pc cluster systems,"m tamura , m kitsuregawa",vldb,1999,"COL title VAL dynamic load balancing for parallel association rule mining on heterogenous pc cluster systems COL authors VAL m tamura , m kitsuregawa COL venue VAL vldb COL year VAL 1999"
1511,a scalable and highly available networked database architecture,"r bamford , r ahad , a pruscino",vldb,1999,"COL title VAL a scalable and highly available networked database architecture COL authors VAL r bamford , r ahad , a pruscino COL venue VAL vldb COL year VAL 1999"
1512,query execution techniques for caching expensive methods,"j hellerstein , j naughton",sigmod conference,1996,"COL title VAL query execution techniques for caching expensive methods COL authors VAL j hellerstein , j naughton COL venue VAL sigmod conference COL year VAL 1996"
1513,"semi-automatic , self-adaptive control of garbage collection rates in object databases","j cook , a klauser , a wolf , b zorn",sigmod conference,1996,"COL title VAL semi-automatic , self-adaptive control of garbage collection rates in object databases COL authors VAL j cook , a klauser , a wolf , b zorn COL venue VAL sigmod conference COL year VAL 1996"
1514,context-based prefetch for implementing objects on relations,"p bernstein , s pal , d shutt",vldb,1999,"COL title VAL context-based prefetch for implementing objects on relations COL authors VAL p bernstein , s pal , d shutt COL venue VAL vldb COL year VAL 1999"
1515,towards effective and efficient free space management,"m mcauliffe , m carey , m solomon",sigmod conference,1996,"COL title VAL towards effective and efficient free space management COL authors VAL m mcauliffe , m carey , m solomon COL venue VAL sigmod conference COL year VAL 1996"
1516,ghost : fine granularity buffering of indexes,"c goh , b ooi , d sim , k tan",vldb,1999,"COL title VAL ghost : fine granularity buffering of indexes COL authors VAL c goh , b ooi , d sim , k tan COL venue VAL vldb COL year VAL 1999"
1517,dbmss on a modern processor : where does time go ?,"a ailamaki , d dewitt , m hill , d wood",vldb,1999,"COL title VAL dbmss on a modern processor : where does time go ? COL authors VAL a ailamaki , d dewitt , m hill , d wood COL venue VAL vldb COL year VAL 1999"
1518,static detection of security flaws in object-oriented databases,k tajima,sigmod conference,1996,COL title VAL static detection of security flaws in object-oriented databases COL authors VAL k tajima COL venue VAL sigmod conference COL year VAL 1996
1519,capturing and querying multiple aspects of semistructured data,"c dyreson , m bіhlen , c jensen",vldb,1999,"COL title VAL capturing and querying multiple aspects of semistructured data COL authors VAL c dyreson , m bіhlen , c jensen COL venue VAL vldb COL year VAL 1999"
1520,multi-dimensional resource scheduling for parallel queries,"m garofalakis , y ioannidis",sigmod conference,1996,"COL title VAL multi-dimensional resource scheduling for parallel queries COL authors VAL m garofalakis , y ioannidis COL venue VAL sigmod conference COL year VAL 1996"
1521,safe and efficient sharing of persistent objects in thor,"b liskov , a adya , m castro , m day , s ghemawat , r gruber , u maheshwari , a myers , l shrira",sigmod conference,1996,"COL title VAL safe and efficient sharing of persistent objects in thor COL authors VAL b liskov , a adya , m castro , m day , s ghemawat , r gruber , u maheshwari , a myers , l shrira COL venue VAL sigmod conference COL year VAL 1996"
1522,cache conscious indexing for decision-support in main memory,"j rao , k ross",vldb,1999,"COL title VAL cache conscious indexing for decision-support in main memory COL authors VAL j rao , k ross COL venue VAL vldb COL year VAL 1999"
1523,comparing hierarchical data in external memory,s chawathe,vldb,1999,COL title VAL comparing hierarchical data in external memory COL authors VAL s chawathe COL venue VAL vldb COL year VAL 1999
